*library name	*R1 filepath  *R2 filepath  *title	*library strategy	*organism	**cell type	genotype	diet	sex	sequencing batch	*molecule	*single or paired-end	*instrument model	description	processed data file
D21-1676	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, Control, rep1"	ATAC-seq	Mus musculus	ISC	WT	CD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1677	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, Control, rep1"	ATAC-seq	Mus musculus	TAC	WT	CD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1678	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD, rep1"	ATAC-seq	Mus musculus	ISC	WT	HFD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1679	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, HFD, rep1"	ATAC-seq	Mus musculus	TAC	WT	HFD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1680	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, Control, rep2"	ATAC-seq	Mus musculus	ISC	WT	CD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1681	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, Control, rep2"	ATAC-seq	Mus musculus	TAC	WT	CD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1682	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD, rep2"	ATAC-seq	Mus musculus	ISC	WT	HFD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1683	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, HFD, rep2"	ATAC-seq	Mus musculus	TAC	WT	HFD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1684	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, Control, rep3"	ATAC-seq	Mus musculus	ISC	WT	CD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1685	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, HFD, rep3"	ATAC-seq	Mus musculus	TAC	WT	HFD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1686	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD, rep3"	ATAC-seq	Mus musculus	ISC	WT	HFD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1687	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, HFD, rep4"	ATAC-seq	Mus musculus	TAC	WT	HFD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1688	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, Control, rep4"	ATAC-seq	Mus musculus	ISC	WT	CD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1689	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, Control, rep3"	ATAC-seq	Mus musculus	TAC	WT	CD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1690	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD, rep4"	ATAC-seq	Mus musculus	ISC	WT	HFD	male	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
D21-1691	"/path/to/fileR1"  "/path/to/fileR2"  "Transit-amplifying cell (TAC), WT, Control, rep4"	ATAC-seq	Mus musculus	TAC	WT	CD	female	1	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1063	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, Control, rep5"	ATAC-seq	Mus musculus	ISC	WT	CD	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1064	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD, rep5"	ATAC-seq	Mus musculus	ISC	WT	HFD	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1065	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-1wk, rep1"	ATAC-seq	Mus musculus	ISC	WT	HFD-1wk	female	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1066	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-1wk, rep2"	ATAC-seq	Mus musculus	ISC	WT	HFD-1wk	female	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1067	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-1wk, rep3"	ATAC-seq	Mus musculus	ISC	WT	HFD-1wk	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1068	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-1wk, rep4"	ATAC-seq	Mus musculus	ISC	WT	HFD-1wk	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1069	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-4wk, rep1"	ATAC-seq	Mus musculus	ISC	WT	HFD-4wk	female	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1070	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-4wk, rep2"	ATAC-seq	Mus musculus	ISC	WT	HFD-4wk	female	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1071	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), WT, HFD-4wk, rep3"	ATAC-seq	Mus musculus	ISC	WT	HFD-4wk	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1072	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), Ppar-d/a iKO, Control, rep1"	ATAC-seq	Mus musculus	ISC	Ppar-d/a iKO	CD	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1073	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), Ppar-d/a iKO, Control, rep2"	ATAC-seq	Mus musculus	ISC	Ppar-d/a iKO	CD	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
220201Man_D22-1074	"/path/to/fileR1"  "/path/to/fileR2"  "Intestinal stem cell (ISC), Ppar-d/a iKO, Control, rep3"	ATAC-seq	Mus musculus	ISC	Ppar-d/a iKO	CD	male	2	genomic DNA	paired-end	NextSeq 2000		consensus_counts_allsamples.tsv
